2022-05-17 07:05:255 INFO  RegisterPage :103 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //input[@id='FirstName']]
2022-05-17 07:05:354 INFO  RegisterPage :108 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //input[@id='LastName']]
2022-05-17 07:05:523 INFO  RegisterPage :113 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //select[@name='DateOfBirthDay']]
2022-05-17 07:05:666 INFO  RegisterPage :118 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-17 07:05:788 INFO  RegisterPage :123 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //select[@name='DateOfBirthYear']]
2022-05-17 07:05:909 INFO  RegisterPage :128 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //input[@id='Email']]
2022-05-17 07:05:90 INFO  RegisterPage :133 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //input[@id='Password']]
2022-05-17 07:05:261 INFO  RegisterPage :138 - Enter text into : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-17 07:05:430 INFO  RegisterPage :143 - Click on Register button : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //button[@id='register-button']]
2022-05-17 07:05:828 INFO  RegisterPage :173 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7edabbbd0f28e878752e549c5ab43733)] -> xpath: //div[contains(text(),'Your registration completed')]]
2022-05-17 07:05:659 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:667 INFO  HomePage :79 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 07:05:498 INFO  RegisterPage :98 - Click on Male Gender radio button : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //input[@id='gender-male']]
2022-05-17 07:05:610 INFO  RegisterPage :103 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //input[@id='FirstName']]
2022-05-17 07:05:742 INFO  RegisterPage :108 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //input[@id='LastName']]
2022-05-17 07:05:860 INFO  RegisterPage :113 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //select[@name='DateOfBirthDay']]
2022-05-17 07:05:968 INFO  RegisterPage :118 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-17 07:05:81 INFO  RegisterPage :123 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //select[@name='DateOfBirthYear']]
2022-05-17 07:05:332 INFO  RegisterPage :128 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //input[@id='Email']]
2022-05-17 07:05:445 INFO  RegisterPage :133 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //input[@id='Password']]
2022-05-17 07:05:559 INFO  RegisterPage :138 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-17 07:05:687 INFO  RegisterPage :143 - Click on Register button : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //button[@id='register-button']]
2022-05-17 07:05:326 INFO  RegisterPage :173 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f365507c5c564ba5293dcde3a4de2e6c)] -> xpath: //div[contains(text(),'Your registration completed')]]
2022-05-17 07:05:54 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:626 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (12604820585f0fc664b4feb1a80b36e5)] -> link text: Log in]
2022-05-17 07:05:213 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (12604820585f0fc664b4feb1a80b36e5)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 07:05:120 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:736 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0216f9abf6d04a47af189698d6c04640)] -> link text: Log in]
2022-05-17 07:05:249 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (0216f9abf6d04a47af189698d6c04640)] -> id: Email]
2022-05-17 07:05:452 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (0216f9abf6d04a47af189698d6c04640)] -> name: Password]
2022-05-17 07:05:624 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (0216f9abf6d04a47af189698d6c04640)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:276 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0216f9abf6d04a47af189698d6c04640)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:593 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:870 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (70921ce9d0af68cbd73014e0c661d003)] -> link text: Log in]
2022-05-17 07:05:647 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (70921ce9d0af68cbd73014e0c661d003)] -> id: Email]
2022-05-17 07:05:845 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (70921ce9d0af68cbd73014e0c661d003)] -> name: Password]
2022-05-17 07:05:34 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (70921ce9d0af68cbd73014e0c661d003)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:680 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (70921ce9d0af68cbd73014e0c661d003)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:710 INFO  ManageDriver :30 - Launching Chrome Browser
